user_id,anomaly_score_IF,anomaly_IF,anomaly_score_AE,anomaly_AE,is_anomaly,user_risk_grade,anomaly,critical_anomaly
10021426,0.1046393513399207,1,0.1527375,1,2,Normal,1,1
10021427,0.130126849833004,1,0.05338852,1,2,Normal,1,1
10021428,0.0888508174502091,1,0.21517465,1,2,Normal,1,1
10021429,0.0873430288065013,1,0.30519363,1,2,Normal,1,1
10021430,0.1841508395082126,1,0.04033537,1,2,Normal,1,1
10021431,0.1350082834833791,1,0.1234522,1,2,Normal,1,1
10021432,0.158742601468678,1,0.041459937,1,2,Normal,1,1
10021433,0.1113242260931911,1,0.09884149,1,2,Normal,1,1
10021434,0.0551375997587774,1,0.22281882,1,2,Normal,1,1
10021435,0.1633662247945386,1,0.025832785,1,2,Normal,1,1
10021436,0.1694663320650104,1,0.042074956,1,2,Normal,1,1
10021437,0.0112272199280712,1,0.6836906,-1,0,Medium Risk,-1,1
10021438,0.0803989982890954,1,0.47114524,1,2,Normal,1,1
10021439,0.1675884063723535,1,0.07744892,1,2,Normal,1,1
10021440,0.1615969990603712,1,0.028902587,1,2,Normal,1,1
10021441,0.1793669309871641,1,0.03765266,1,2,Normal,1,1
10021442,0.1308488336555984,1,0.15058355,1,2,Normal,1,1
10021443,0.0275399041077554,1,0.20468895,1,2,Normal,1,1
10021444,0.1825982386896936,1,0.021576399,1,2,Normal,1,1
10021445,0.1058184650312327,1,0.2996396,1,2,Normal,1,1
10021446,0.1771727496026747,1,0.059890043,1,2,Normal,1,1
10021447,0.1410549307682974,1,0.17768246,1,2,Normal,1,1
10021448,0.1188999504140492,1,0.10352971,1,2,Normal,1,1
10021449,0.1671580009115713,1,0.06306018,1,2,Normal,1,1
10021450,-0.0671133329106992,-1,0.8178544,-1,-2,Critical Risk,-1,-1
10021451,0.1411638459118736,1,0.064796455,1,2,Normal,1,1
10021452,0.1395443531308033,1,0.12080539,1,2,Normal,1,1
10021453,-0.031746449890727,-1,0.58862334,-1,-2,Critical Risk,-1,-1
10021454,0.1758497915257382,1,0.05422482,1,2,Normal,1,1
10021455,0.0478131228204782,1,0.16417046,1,2,Normal,1,1
10021456,-0.1002683840437365,-1,0.6257786,-1,-2,Critical Risk,-1,-1
10021457,0.1480227624865807,1,0.19966494,1,2,Normal,1,1
10021458,0.1510609332377683,1,0.09793206,1,2,Normal,1,1
10021459,0.0600335796799884,1,0.47200644,1,2,Normal,1,1
10021460,0.1626079588097621,1,0.07555989,1,2,Normal,1,1
10021461,0.1822597968052293,1,0.02646231,1,2,Normal,1,1
10021462,0.1804961855702821,1,0.029694902,1,2,Normal,1,1
10021463,0.1301207462940384,1,0.070698135,1,2,Normal,1,1
10021464,0.0091758586458315,1,0.7388282,-1,0,Medium Risk,-1,1
10021465,0.1119804149871832,1,0.123873346,1,2,Normal,1,1
10021466,0.1101966772094805,1,0.14888956,1,2,Normal,1,1
10021467,0.1025799118188756,1,0.08532915,1,2,Normal,1,1
10021468,0.1750989736945953,1,0.039189525,1,2,Normal,1,1
10021469,0.1598520474477615,1,0.036351148,1,2,Normal,1,1
10021470,0.1612549927954032,1,0.034891855,1,2,Normal,1,1
10021471,0.0976458539790077,1,0.2813964,1,2,Normal,1,1
10021472,0.1556148203021845,1,0.054206032,1,2,Normal,1,1
10021473,0.0918242075552452,1,0.24648403,1,2,Normal,1,1
10021474,0.1624740111783239,1,0.08339155,1,2,Normal,1,1
10021475,0.1850984602697703,1,0.013359189,1,2,Normal,1,1
10021476,0.1323799357712246,1,0.08824728,1,2,Normal,1,1
10021477,0.1455316520375945,1,0.09481601,1,2,Normal,1,1
10021478,0.1854303591523515,1,0.021183584,1,2,Normal,1,1
10021479,-0.0246863536018475,-1,0.2057703,1,0,Medium Risk,-1,1
10021480,0.1547592576784043,1,0.06332162,1,2,Normal,1,1
10021481,0.0975633932230316,1,0.34453288,1,2,Normal,1,1
10021482,0.0751765950769503,1,0.30389777,1,2,Normal,1,1
10021483,0.0736933822917839,1,0.21528098,1,2,Normal,1,1
10021484,0.1633427981560681,1,0.07050868,1,2,Normal,1,1
10021485,0.1669290314164749,1,0.053619713,1,2,Normal,1,1
10021486,0.181011387315975,1,0.042903047,1,2,Normal,1,1
10021487,0.1528166269780951,1,0.10183704,1,2,Normal,1,1
10021488,0.1758636450966126,1,0.019776905,1,2,Normal,1,1
10021489,0.1233900496079887,1,0.0813055,1,2,Normal,1,1
10021490,0.1489397610861041,1,0.06651572,1,2,Normal,1,1
10021491,0.171083450670627,1,0.043271698,1,2,Normal,1,1
10021492,0.0963143672446747,1,0.16602878,1,2,Normal,1,1
10021493,0.1557766776953,1,0.034220546,1,2,Normal,1,1
10021494,0.1726131756114876,1,0.049212713,1,2,Normal,1,1
10021495,0.1575665861205548,1,0.08554703,1,2,Normal,1,1
10021496,0.1576872112600797,1,0.04981624,1,2,Normal,1,1
10021497,0.1788952191145102,1,0.054950763,1,2,Normal,1,1
10021498,0.1225635209945449,1,0.2809861,1,2,Normal,1,1
10021499,0.1567377163723751,1,0.07584477,1,2,Normal,1,1
10021500,0.1365696940969434,1,0.09775033,1,2,Normal,1,1
10021501,0.0635804061246131,1,0.14880224,1,2,Normal,1,1
10021502,0.1724486292485794,1,0.04507209,1,2,Normal,1,1
10021503,0.0904498007853042,1,0.16410999,1,2,Normal,1,1
10021504,0.1739750422464547,1,0.019434264,1,2,Normal,1,1
10021505,0.1779150872615085,1,0.04323271,1,2,Normal,1,1
10021506,0.1409974204868605,1,0.16643925,1,2,Normal,1,1
10021507,0.0251280115069689,1,0.15880643,1,2,Normal,1,1
10021508,0.1397226163933347,1,0.19237463,1,2,Normal,1,1
10021509,0.1728429424072541,1,0.054704238,1,2,Normal,1,1
10021510,0.1424642843912034,1,0.09170005,1,2,Normal,1,1
10021511,0.086530578490747,1,0.15545097,1,2,Normal,1,1
10021512,0.1574655732531723,1,0.06279754,1,2,Normal,1,1
10021513,0.0607806295097808,1,0.31078124,1,2,Normal,1,1
10021514,0.0057872001487879,1,0.09090755,1,2,Normal,1,1
10021515,0.1550038142955172,1,0.06970178,1,2,Normal,1,1
10021516,0.1313742010439822,1,0.08201228,1,2,Normal,1,1
10021517,0.1161444090455418,1,0.06717926,1,2,Normal,1,1
10021518,0.0864655062452982,1,0.26099324,1,2,Normal,1,1
10021519,0.166290845789385,1,0.04764931,1,2,Normal,1,1
10021520,0.0966566064235586,1,0.117590316,1,2,Normal,1,1
10021521,-0.017692139284977,-1,0.17369878,1,0,Medium Risk,-1,1
10021522,0.1619504973975933,1,0.068407275,1,2,Normal,1,1
10021523,0.0415357393083374,1,0.46282527,1,2,Normal,1,1
